"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","537","1.05%","91.17%","52","1.30%","8.83%","589","1.07%"
"1.1 - 2","807","1.57%","90.27%","87","2.18%","9.73%","894","1.62%"
"2.1 - 3","1,168","2.28%","87.29%","170","4.26%","12.71%","1,338","2.42%"
"3.1 - 4","984","1.92%","88.81%","124","3.11%","11.19%","1,108","2.01%"
"4.1 - 5","1,931","3.77%","89.15%","235","5.89%","10.85%","2,166","3.92%"
"5.1 - 6","1,115","2.18%","90.06%","123","3.08%","9.94%","1,238","2.24%"
"6.1 - 7","1,072","2.09%","91.55%","99","2.48%","8.45%","1,171","2.12%"
"7.1 - 8","1,144","2.23%","91.52%","106","2.66%","8.48%","1,250","2.26%"
"8.1 - 9","1,263","2.46%","93.00%","95","2.38%","7.00%","1,358","2.46%"
"9.1 - 10","3,626","7.07%","89.60%","421","10.56%","10.40%","4,047","7.33%"
"10.1 - 12","2,286","4.46%","90.71%","234","5.87%","9.29%","2,520","4.56%"
"12.1 - 15","5,067","9.89%","92.35%","420","10.53%","7.65%","5,487","9.93%"
"15.1 - 20","9,467","18.47%","93.21%","690","17.30%","6.79%","10,157","18.39%"
"20.1 - Over","11,680","22.79%","94.38%","696","17.45%","5.62%","12,376","22.40%"
"Life","7,426","14.49%","95.19%","375","9.40%","4.81%","7,801","14.12%"
"Life Without Parole","1,534","2.99%","96.48%","56","1.40%","3.52%","1,590","2.88%"
"Death","84","0.16%","98.82%","1","0.03%","1.18%","85","0.15%"
"Youthful Offenders","67","0.13%","94.37%","4","0.10%","5.63%","71","0.13%"
"Total Reported","51,258","100%","92.78%","3,988","100%","7.22%","55,246","100.0%"
