"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,344","2.69%","88.42%","176","4.72%","11.58%","1,520","2.83%"
"1.1 - 2","3,622","7.25%","88.67%","462","12.39%","11.31%","4,085","7.61%"
"2.1 - 3","4,009","8.03%","88.42%","523","14.03%","11.54%","4,534","8.45%"
"3.1 - 4","2,891","5.79%","90.34%","309","8.29%","9.66%","3,200","5.96%"
"4.1 - 5","5,232","10.47%","90.53%","547","14.67%","9.47%","5,779","10.76%"
"5.1 - 6","2,042","4.09%","92.27%","171","4.59%","7.73%","2,213","4.12%"
"6.1 - 7","1,958","3.92%","92.40%","161","4.32%","7.60%","2,119","3.95%"
"7.1 - 8","1,801","3.61%","93.70%","121","3.25%","6.30%","1,922","3.58%"
"8.1 - 9","770","1.54%","92.55%","62","1.66%","7.45%","832","1.55%"
"9.1 - 10","6,110","12.23%","94.14%","379","10.17%","5.84%","6,490","12.09%"
"10.1 - 12","2,448","4.90%","95.36%","119","3.19%","4.64%","2,567","4.78%"
"12.1 - 15","3,824","7.66%","95.86%","165","4.43%","4.14%","3,989","7.43%"
"15.1 - 20","3,706","7.42%","96.28%","143","3.84%","3.72%","3,849","7.17%"
"20.1 - Over","2,995","6.00%","97.37%","81","2.17%","2.63%","3,076","5.73%"
"Life","6,538","13.09%","95.67%","296","7.94%","4.33%","6,834","12.73%"
"Life Without Parole","562","1.13%","97.91%","12","0.32%","2.09%","574","1.07%"
"Death","99","0.20%","99.00%","1","0.03%","1.00%","100","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,954","100%","93.05%","3,728","100.0%","6.94%","53,686","100.0%"
