"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","490","0.96%","92.11%","42","1.07%","7.89%","532","0.97%"
"1.1 - 2","737","1.45%","90.65%","76","1.94%","9.35%","813","1.48%"
"2.1 - 3","996","1.96%","85.94%","163","4.17%","14.06%","1,159","2.11%"
"3.1 - 4","886","1.74%","90.04%","98","2.51%","9.96%","984","1.79%"
"4.1 - 5","1,989","3.90%","89.39%","236","6.04%","10.61%","2,225","4.06%"
"5.1 - 6","1,022","2.01%","89.18%","124","3.17%","10.82%","1,146","2.09%"
"6.1 - 7","1,166","2.29%","90.95%","116","2.97%","9.05%","1,282","2.34%"
"7.1 - 8","1,176","2.31%","90.81%","119","3.04%","9.19%","1,295","2.36%"
"8.1 - 9","1,272","2.50%","93.74%","85","2.17%","6.26%","1,357","2.47%"
"9.1 - 10","3,873","7.60%","89.99%","431","11.02%","10.01%","4,304","7.85%"
"10.1 - 12","2,330","4.57%","90.70%","239","6.11%","9.30%","2,569","4.68%"
"12.1 - 15","5,236","10.28%","92.23%","441","11.28%","7.77%","5,677","10.35%"
"15.1 - 20","9,631","18.91%","93.59%","660","16.88%","6.41%","10,291","18.76%"
"20.1 - Over","11,205","22.00%","94.50%","652","16.68%","5.50%","11,857","21.62%"
"Life","7,361","14.45%","95.13%","377","9.64%","4.87%","7,738","14.11%"
"Life Without Parole","1,355","2.66%","96.51%","49","1.25%","3.49%","1,404","2.56%"
"Death","119","0.23%","100.00%","0","0.00%","0.00%","119","0.22%"
"Youthful Offenders","93","0.18%","97.89%","2","0.05%","2.11%","95","0.17%"
"Total Reported","50,937","100%","92.87%","3,910","100%","7.13%","54,847","100%"
