"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","542","1.06%","92.81%","42","1.07%","7.19%","584","1.06%"
"1.1 - 2","790","1.55%","90.49%","83","2.12%","9.51%","873","1.59%"
"2.1 - 3","1,206","2.36%","86.70%","185","4.72%","13.30%","1,391","2.53%"
"3.1 - 4","993","1.94%","90.19%","108","2.76%","9.81%","1,101","2.00%"
"4.1 - 5","1,887","3.69%","89.86%","213","5.44%","10.14%","2,100","3.82%"
"5.1 - 6","1,114","2.18%","89.69%","128","3.27%","10.31%","1,242","2.26%"
"6.1 - 7","1,081","2.12%","91.69%","98","2.50%","8.31%","1,179","2.14%"
"7.1 - 8","1,157","2.26%","92.26%","97","2.48%","7.74%","1,254","2.28%"
"8.1 - 9","1,226","2.40%","93.16%","90","2.30%","6.84%","1,316","2.39%"
"9.1 - 10","3,491","6.83%","89.44%","412","10.52%","10.56%","3,903","7.09%"
"10.1 - 12","2,155","4.22%","91.04%","212","5.41%","8.96%","2,367","4.30%"
"12.1 - 15","4,918","9.62%","92.43%","403","10.29%","7.57%","5,321","9.67%"
"15.1 - 20","9,442","18.47%","93.10%","700","17.87%","6.90%","10,142","18.43%"
"20.1 - Over","11,940","23.36%","94.45%","702","17.92%","5.55%","12,642","22.98%"
"Life","7,435","14.55%","95.11%","382","9.75%","4.89%","7,817","14.21%"
"Life Without Parole","1,597","3.12%","96.50%","58","1.48%","3.50%","1,655","3.01%"
"Death","77","0.15%","98.72%","1","0.03%","1.28%","78","0.14%"
"Youthful Offenders","57","0.11%","95.00%","3","0.08%","5.00%","60","0.11%"
"Total Reported","51,108","100%","92.88%","3,917","100.0%","7.12%","55,025","100.0%"
