"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","424","0.85%","93.60%","29","0.82%","6.40%","453","0.85%"
"1.1 - 2","661","1.33%","90.18%","72","2.04%","9.82%","733","1.38%"
"2.1 - 3","909","1.83%","89.21%","110","3.11%","10.79%","1,019","1.92%"
"3.1 - 4","902","1.82%","92.13%","77","2.18%","7.87%","979","1.84%"
"4.1 - 5","2,084","4.20%","90.49%","219","6.20%","9.51%","2,303","4.33%"
"5.1 - 6","1,076","2.17%","88.93%","134","3.79%","11.07%","1,210","2.27%"
"6.1 - 7","1,156","2.33%","92.70%","91","2.57%","7.30%","1,247","2.34%"
"7.1 - 8","1,196","2.41%","91.65%","109","3.08%","8.35%","1,305","2.45%"
"8.1 - 9","1,155","2.33%","92.40%","95","2.69%","7.60%","1,250","2.35%"
"9.1 - 10","5,190","10.45%","90.48%","546","15.45%","9.52%","5,736","10.78%"
"10.1 - 12","2,698","5.43%","92.37%","223","6.31%","7.63%","2,921","5.49%"
"12.1 - 15","5,327","10.73%","92.55%","429","12.14%","7.45%","5,756","10.82%"
"15.1 - 20","9,455","19.04%","94.16%","586","16.58%","5.84%","10,041","18.88%"
"20.1 - Over","9,341","18.81%","95.60%","430","12.16%","4.40%","9,771","18.37%"
"Life","7,003","14.10%","95.16%","356","10.07%","4.84%","7,359","13.83%"
"Life Without Parole","986","1.99%","97.24%","28","0.79%","2.76%","1,014","1.91%"
"Death","97","0.20%","98.98%","1","0.03%","1.02%","98","0.18%"
"Youthful Offenders","2","0.01%","100.00%","0","0.00%","0.00%","2","0.01%"
"Total Reported","49,662","100%","93.35%","3,535","100.0%","6.65%","53,197","100%"
