"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","409","0.88%","93.81%","27","0.81%","6.19%","436","0.87%"
"1.1 - 2","599","1.29%","89.67%","69","2.07%","10.33%","668","1.34%"
"2.1 - 3","961","2.07%","88.98%","119","3.57%","11.02%","1,080","2.17%"
"3.1 - 4","820","1.76%","91.21%","79","2.37%","8.79%","899","1.80%"
"4.1 - 5","1,499","3.22%","90.79%","152","4.56%","9.21%","1,651","3.31%"
"5.1 - 6","918","1.97%","90.71%","94","2.82%","9.29%","1,012","2.03%"
"6.1 - 7","869","1.87%","92.45%","71","2.13%","7.55%","940","1.89%"
"7.1 - 8","954","2.05%","92.17%","81","2.43%","7.83%","1,035","2.08%"
"8.1 - 9","1,009","2.17%","93.25%","73","2.19%","6.75%","1,082","2.17%"
"9.1 - 10","2,933","6.30%","89.37%","349","10.48%","10.63%","3,282","6.58%"
"10.1 - 12","1,863","4.00%","91.77%","167","5.02%","8.23%","2,030","4.07%"
"12.1 - 15","4,376","9.41%","92.65%","347","10.42%","7.35%","4,723","9.47%"
"15.1 - 20","8,784","18.88%","93.58%","603","18.11%","6.42%","9,387","18.83%"
"20.1 - Over","11,502","24.72%","94.51%","668","20.06%","5.49%","12,170","24.41%"
"Life","7,323","15.74%","95.18%","371","11.14%","4.82%","7,694","15.43%"
"Life Without Parole","1,595","3.43%","96.49%","58","1.74%","3.51%","1,653","3.32%"
"Death","75","0.16%","98.68%","1","0.03%","1.32%","76","0.15%"
"Youthful Offenders","35","0.08%","97.22%","1","0.03%","2.78%","36","0.07%"
"Total Reported","46,524","100%","93.32%","3,330","100%","6.68%","49,854","100%"
