"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,622","3.12%","93.54%","112","2.96%","6.46%","1,734","3.11%"
"1.1 - 2","3,037","5.85%","90.20%","330","8.71%","9.80%","3,367","6.04%"
"2.1 - 3","3,701","7.13%","88.63%","475","12.54%","11.37%","4,176","7.49%"
"3.1 - 4","2,882","5.55%","89.34%","344","9.08%","10.66%","3,226","5.79%"
"4.1 - 5","5,324","10.25%","91.07%","522","13.78%","8.93%","5,846","10.49%"
"5.1 - 6","2,332","4.49%","90.35%","249","6.57%","9.65%","2,581","4.63%"
"6.1 - 7","2,309","4.45%","91.99%","201","5.30%","8.01%","2,510","4.50%"
"7.1 - 8","2,093","4.03%","91.88%","185","4.88%","8.12%","2,278","4.09%"
"8.1 - 9","1,265","2.44%","93.22%","92","2.43%","6.78%","1,357","2.43%"
"9.1 - 10","5,885","11.33%","94.11%","368","9.71%","5.89%","6,253","11.22%"
"10.1 - 12","2,641","5.08%","94.93%","141","3.72%","5.07%","2,782","4.99%"
"12.1 - 15","4,001","7.70%","95.58%","185","4.88%","4.42%","4,186","7.51%"
"15.1 - 20","3,974","7.65%","96.13%","160","4.22%","3.87%","4,134","7.42%"
"20.1 - Over","3,295","6.34%","97.20%","95","2.51%","2.80%","3,390","6.08%"
"Life","6,785","13.06%","95.55%","316","8.34%","4.45%","7,101","12.74%"
"Life Without Parole","698","1.34%","98.17%","13","0.34%","1.83%","711","1.28%"
"Death","95","0.18%","98.96%","1","0.03%","1.04%","96","0.17%"
"Youthful Offenders","4","0.01%","100.00%","0","0.00%","0.00%","4","0.01%"
"Total Reported","51,943","100%","93.20%","3,789","100%","6.80%","55,732","100%"
