"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,448","2.85%","90.90%","145","4.18%","9.10%","1,593","2.93%"
"1.1 - 2","3,777","7.43%","89.21%","457","13.16%","10.79%","4,234","7.79%"
"2.1 - 3","4,320","8.50%","89.65%","499","14.37%","10.35%","4,819","8.87%"
"3.1 - 4","2,988","5.88%","90.79%","303","8.72%","9.21%","3,291","6.06%"
"4.1 - 5","5,495","10.81%","92.14%","469","13.50%","7.86%","5,964","10.98%"
"5.1 - 6","2,157","4.24%","92.85%","166","4.78%","7.15%","2,323","4.28%"
"6.1 - 7","2,044","4.02%","94.32%","123","3.54%","5.68%","2,167","3.99%"
"7.1 - 8","1,937","3.81%","93.85%","127","3.66%","6.15%","2,064","3.80%"
"8.1 - 9","723","1.42%","93.77%","48","1.38%","6.23%","771","1.42%"
"9.1 - 10","6,319","12.43%","94.50%","368","10.60%","5.50%","6,687","12.31%"
"10.1 - 12","2,562","5.04%","95.49%","121","3.48%","4.51%","2,683","4.94%"
"12.1 - 15","3,691","7.26%","96.02%","153","4.41%","3.98%","3,844","7.08%"
"15.1 - 20","3,613","7.11%","96.63%","126","3.63%","3.37%","3,739","6.88%"
"20.1 - Over","2,863","5.63%","97.55%","72","2.07%","2.45%","2,935","5.40%"
"Life","6,325","12.44%","95.63%","289","8.32%","4.37%","6,614","12.18%"
"Life Without Parole","479","0.94%","98.76%","6","0.17%","1.24%","485","0.89%"
"Death","105","0.21%","99.06%","1","0.03%","0.94%","106","0.20%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","50,849","100%","93.61%","3,473","100%","6.39%","54,322","100.0%"
