"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","3,108","6.26%","91.17%","301","8.53%","8.83%","3,409","6.41%"
"1.1 - 2","3,833","7.72%","88.50%","498","14.11%","11.50%","4,331","8.15%"
"2.1 - 3","3,871","7.80%","89.42%","458","12.97%","10.58%","4,329","8.14%"
"3.1 - 4","2,636","5.31%","90.55%","275","7.79%","9.45%","2,911","5.48%"
"4.1 - 5","4,952","9.98%","91.74%","446","12.63%","8.26%","5,398","10.16%"
"5.1 - 6","1,957","3.94%","92.92%","149","4.22%","7.08%","2,106","3.96%"
"6.1 - 7","1,909","3.85%","93.67%","129","3.65%","6.33%","2,038","3.83%"
"7.1 - 8","1,809","3.65%","93.39%","128","3.63%","6.61%","1,937","3.64%"
"8.1 - 9","687","1.38%","94.11%","43","1.22%","5.89%","730","1.37%"
"9.1 - 10","6,013","12.12%","94.32%","362","10.25%","5.68%","6,375","11.99%"
"10.1 - 12","2,391","4.82%","95.68%","108","3.06%","4.32%","2,499","4.70%"
"12.1 - 15","3,461","6.98%","95.93%","147","4.16%","4.07%","3,608","6.79%"
"15.1 - 20","3,480","7.01%","96.59%","123","3.48%","3.41%","3,603","6.78%"
"20.1 - Over","2,732","5.51%","97.57%","68","1.93%","2.43%","2,800","5.27%"
"Life","6,209","12.51%","95.57%","288","8.16%","4.43%","6,497","12.22%"
"Life Without Parole","468","0.94%","98.73%","6","0.17%","1.27%","474","0.89%"
"Death","101","0.20%","99.02%","1","0.03%","0.98%","102","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,620","100%","93.36%","3,530","100%","6.64%","53,150","100%"
