"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","424","0.85%","94.01%","27","0.77%","5.99%","451","0.85%"
"1.1 - 2","638","1.28%","90.24%","69","1.97%","9.76%","707","1.33%"
"2.1 - 3","857","1.73%","90.02%","95","2.71%","9.98%","952","1.79%"
"3.1 - 4","877","1.77%","92.32%","73","2.08%","7.68%","950","1.79%"
"4.1 - 5","2,052","4.13%","91.57%","189","5.39%","8.43%","2,241","4.21%"
"5.1 - 6","1,075","2.16%","88.92%","134","3.82%","11.08%","1,209","2.27%"
"6.1 - 7","1,150","2.32%","92.37%","95","2.71%","7.63%","1,245","2.34%"
"7.1 - 8","1,197","2.41%","90.96%","119","3.39%","9.04%","1,316","2.47%"
"8.1 - 9","1,154","2.32%","92.69%","91","2.59%","7.31%","1,245","2.34%"
"9.1 - 10","5,259","10.59%","90.73%","537","15.31%","9.27%","5,796","10.90%"
"10.1 - 12","2,747","5.53%","92.27%","230","6.56%","7.73%","2,977","5.60%"
"12.1 - 15","5,388","10.85%","92.13%","460","13.12%","7.87%","5,848","11.00%"
"15.1 - 20","9,540","19.21%","94.24%","583","16.62%","5.76%","10,123","19.04%"
"20.1 - Over","9,271","18.67%","95.58%","429","12.23%","4.42%","9,700","18.24%"
"Life","6,983","14.06%","95.25%","348","9.92%","4.75%","7,331","13.79%"
"Life Without Parole","952","1.92%","97.24%","27","0.77%","2.76%","979","1.84%"
"Death","99","0.20%","99.00%","1","0.03%","1.00%","100","0.19%"
"Youthful Offenders","2","0.01%","100.00%","0","0.00%","0.00%","2","0.01%"
"Total Reported","49,665","100%","93.40%","3,507","100%","6.60%","53,172","100%"
