"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,384","2.73%","90.40%","147","4.17%","9.60%","1,531","2.82%"
"1.1 - 2","3,751","7.39%","89.12%","458","12.98%","10.88%","4,209","7.76%"
"2.1 - 3","4,285","8.45%","89.36%","510","14.46%","10.64%","4,795","8.84%"
"3.1 - 4","2,967","5.85%","90.60%","308","8.73%","9.40%","3,275","6.03%"
"4.1 - 5","5,520","10.88%","91.77%","495","14.03%","8.23%","6,015","11.08%"
"5.1 - 6","2,121","4.18%","92.54%","171","4.85%","7.46%","2,292","4.22%"
"6.1 - 7","2,056","4.05%","94.53%","119","3.37%","5.47%","2,175","4.01%"
"7.1 - 8","1,921","3.79%","93.66%","130","3.68%","6.34%","2,051","3.78%"
"8.1 - 9","722","1.42%","93.16%","53","1.50%","6.84%","775","1.43%"
"9.1 - 10","6,333","12.48%","94.61%","361","10.23%","5.39%","6,694","12.34%"
"10.1 - 12","2,555","5.04%","95.48%","121","3.43%","4.52%","2,676","4.93%"
"12.1 - 15","3,707","7.31%","95.89%","159","4.51%","4.11%","3,866","7.12%"
"15.1 - 20","3,629","7.15%","96.70%","124","3.51%","3.30%","3,753","6.92%"
"20.1 - Over","2,867","5.65%","97.52%","73","2.07%","2.48%","2,940","5.42%"
"Life","6,335","12.49%","95.59%","292","8.28%","4.41%","6,627","12.21%"
"Life Without Parole","480","0.95%","98.77%","6","0.17%","1.23%","486","0.90%"
"Death","104","0.20%","99.05%","1","0.03%","0.95%","105","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","50,740","100%","93.50%","3,528","100%","6.50%","54,268","100.0%"
