"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","483","0.96%","94.89%","26","0.73%","5.11%","509","0.95%"
"1.1 - 2","702","1.40%","91.05%","69","1.94%","8.95%","771","1.43%"
"2.1 - 3","922","1.84%","91.11%","90","2.53%","8.89%","1,012","1.88%"
"3.1 - 4","917","1.83%","92.53%","74","2.08%","7.47%","991","1.84%"
"4.1 - 5","2,142","4.27%","91.23%","206","5.80%","8.77%","2,348","4.37%"
"5.1 - 6","1,109","2.21%","89.72%","127","3.58%","10.28%","1,236","2.30%"
"6.1 - 7","1,209","2.41%","91.73%","109","3.07%","8.27%","1,318","2.45%"
"7.1 - 8","1,215","2.42%","91.01%","120","3.38%","8.99%","1,335","2.48%"
"8.1 - 9","1,168","2.33%","91.61%","107","3.01%","8.39%","1,275","2.37%"
"9.1 - 10","5,483","10.93%","90.75%","559","15.74%","9.25%","6,042","11.24%"
"10.1 - 12","2,824","5.63%","91.90%","249","7.01%","8.10%","3,073","5.72%"
"12.1 - 15","5,393","10.75%","92.31%","449","12.64%","7.69%","5,842","10.87%"
"15.1 - 20","9,484","18.90%","94.32%","571","16.08%","5.68%","10,055","18.71%"
"20.1 - Over","9,158","18.25%","95.58%","424","11.94%","4.42%","9,582","17.83%"
"Life","6,945","13.84%","95.28%","344","9.69%","4.72%","7,289","13.56%"
"Life Without Parole","932","1.86%","97.29%","26","0.73%","2.71%","958","1.78%"
"Death","98","0.20%","98.99%","1","0.03%","1.01%","99","0.18%"
"Youthful Offenders","2","0.01%","100.00%","0","0.00%","0.00%","2","0.01%"
"Total Reported","50,186","100%","93.39%","3,551","100%","6.61%","53,737","100%"
