"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,916","6.01%","95.76%","129","3.67%","4.24%","3,045","5.85%"
"Twenties","15,518","31.99%","93.73%","1,038","29.54%","6.27%","16,556","31.83%"
"Thirties","13,943","28.74%","92.32%","1,160","33.01%","7.68%","15,103","29.03%"
"Forties","11,148","22.98%","92.37%","921","26.21%","7.63%","12,069","23.20%"
"Fifties","3,975","8.19%","94.60%","227","6.46%","5.40%","4,202","8.08%"
"Sixties","853","1.76%","96.38%","32","0.91%","3.62%","885","1.70%"
"Seventy +","154","0.32%","95.65%","7","0.20%","4.35%","161","0.31%"
"Total Reported","48,507","100%","93.25%","3,514","100%","6.75%","52,021","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","48,508","","","3,514","","","52,022",""
