"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,009","2.08%","97.21%","29","0.78%","2.79%","1,038","1.99%"
"Twenties (20-29)","15,112","31.11%","93.45%","1,059","28.46%","6.55%","16,171","30.93%"
"Thirties (30-39)","14,268","29.38%","92.27%","1,195","32.12%","7.73%","15,463","29.57%"
"Forties (40-49)","11,117","22.89%","91.80%","993","26.69%","8.20%","12,110","23.16%"
"Fifties (50-59)","5,501","11.33%","93.55%","379","10.19%","6.45%","5,880","11.24%"
"Sixties (60-69)","1,343","2.77%","96.00%","56","1.50%","4.00%","1,399","2.68%"
"Seventy + (70 and above)","220","0.45%","95.65%","10","0.27%","4.35%","230","0.44%"
"Total Reported","48,570","100%","92.88%","3,721","100%","7.12%","","52,291  100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,570","","","3,721","","","52,291",""
