"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,892","5.84%","95.29%","143","4.00%","4.71%","3,035","5.72%"
"Twenties","15,836","32.00%","94.02%","1,007","28.20%","5.98%","16,843","31.74%"
"Thirties","14,101","28.49%","92.42%","1,157","32.40%","7.58%","15,258","28.76%"
"Forties","11,393","23.02%","92.07%","981","27.47%","7.93%","12,374","23.32%"
"Fifties","4,197","8.48%","94.51%","244","6.83%","5.49%","4,441","8.37%"
"Sixties","909","1.84%","96.60%","32","0.90%","3.40%","941","1.77%"
"Seventy +","162","0.33%","95.86%","7","0.20%","4.14%","169","0.32%"
"Total Reported","49,490","100%","93.27%","3,571","100%","6.73%","53,061","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,490","","","3,571","","","53,061",""
