"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,044","2.09%","96.22%","41","1.10%","3.78%","1,085","2.02%"
"Twenties (20-29)","15,698","31.37%","93.69%","1,057","28.36%","6.31%","16,755","31.16%"
"Thirties (30-39)","14,705","29.39%","92.33%","1,221","32.76%","7.67%","15,926","29.62%"
"Forties (40-49)","11,679","23.34%","92.01%","1,014","27.21%","7.99%","12,693","23.61%"
"Fifties (50-59)","5,413","10.82%","94.19%","334","8.96%","5.81%","5,747","10.69%"
"Sixties (60-69)","1,270","2.54%","96.36%","48","1.29%","3.64%","1,318","2.45%"
"Seventy + (70 and above)","231","0.46%","95.06%","12","0.32%","4.94%","243","0.45%"
"Total Reported","50,040","100%","93.07%","3,727","100%","6.93%","53,767","100%"
"Not Reported","102","","","13","","","115",""
"Grand Total","50,142","","","3,740","","","53,882",""
