"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,000","1.90%","97.09%","30","0.77%","2.91%","1,030","1.82%"
"Twenties (20-29)","16,264","30.87%","93.55%","1,122","28.81%","6.45%","17,386","30.73%"
"Thirties (30-39)","15,269","28.98%","92.39%","1,257","32.27%","7.61%","16,526","29.21%"
"Forties (40-49)","11,376","21.59%","91.82%","1,013","26.01%","8.18%","12,389","21.89%"
"Fifties (50-59)","6,311","11.98%","94.33%","379","9.73%","5.67%","6,690","11.82%"
"Sixties (60-69)","1,572","2.98%","95.62%","72","1.85%","4.38%","1,644","2.91%"
"Seventy + (70 and above)","898","1.70%","97.61%","22","0.56%","2.39%","920","1.63%"
"Total Reported","52,690","100%","93.12%","3,895","100%","6.88%","","56,585  100.0%"
"Not Reported","4","","","1","","","5",""
"Grand Total","52,694","","","3,896","","","56,590",""
