"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","780","1.54%","97.01%","24","0.62%","2.99%","804","1.48%"
"Twenties (20-29)","14,383","28.39%","93.35%","1,025","26.67%","6.65%","15,408","28.27%"
"Thirties (30-39)","15,268","30.14%","91.98%","1,332","34.66%","8.02%","16,600","30.46%"
"Forties (40-49)","10,402","20.53%","92.10%","892","23.21%","7.90%","11,294","20.72%"
"Fifties (50-59)","6,853","13.53%","93.85%","449","11.68%","6.15%","7,302","13.40%"
"Sixties (60-69)","2,352","4.64%","95.88%","101","2.63%","4.12%","2,453","4.50%"
"Seventy + (70 and above)","621","1.23%","96.88%","20","0.52%","3.12%","641","1.18%"
"Total Reported","50,659","100%","92.95%","3,843","100%","7.05%","54,502","100.0%"
"Not Reported","213","","","0","","","213",""
"Grand Total","50,872","","","3,843","","","54,715",""
