"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","979","2.00%","95.98%","41","1.12%","4.02%","1,020","1.94%"
"Twenties (20-29)","15,285","31.21%","93.75%","1,019","27.71%","6.25%","16,304","30.97%"
"Thirties (30-39)","14,393","29.39%","92.00%","1,252","34.05%","8.00%","15,645","29.72%"
"Forties (40-49)","11,654","23.80%","92.11%","998","27.14%","7.89%","12,652","24.03%"
"Fifties (50-59)","5,219","10.66%","94.41%","309","8.40%","5.59%","5,528","10.50%"
"Sixties (60-69)","1,227","2.51%","96.31%","47","1.28%","3.69%","1,274","2.42%"
"Seventy + (70 and above)","215","0.44%","95.13%","11","0.30%","4.87%","226","0.43%"
"Total Reported","48,972","100%","93.02%","3,677","100%","6.98%","","52,649   100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,972","","","3,677","","","52,649",""
