"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,033","2.10%","97.00%","32","0.87%","3.00%","1,065","2.02%"
"Twenties (20-29)","15,303","31.18%","93.64%","1,039","28.20%","6.36%","16,342","30.97%"
"Thirties (30-39)","14,511","29.56%","92.42%","1,190","32.29%","7.58%","15,701","29.75%"
"Forties (40-49)","11,167","22.75%","91.83%","994","26.97%","8.17%","12,161","23.05%"
"Fifties (50-59)","5,494","11.19%","93.82%","362","9.82%","6.18%","5,856","11.10%"
"Sixties (60-69)","1,360","2.77%","95.98%","57","1.55%","4.02%","1,417","2.69%"
"Seventy + (70 and above)","215","0.44%","95.13%","11","0.30%","4.87%","226","0.43%"
"Total Reported","49,083","100%","93.02%","3,685","100%","6.98%","","52,768  100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,083","","","3,685","","","52,768",""
