"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","743","1.48%","96.74%","25","0.67%","3.26%","768","1.42%"
"Twenties (20-29)","14,620","29.07%","93.62%","997","26.60%","6.38%","15,617","28.90%"
"Thirties (30-39)","15,138","30.10%","92.13%","1,293","34.50%","7.87%","16,431","30.41%"
"Forties (40-49)","10,222","20.33%","92.11%","876","23.37%","7.89%","11,098","20.54%"
"Fifties (50-59)","6,767","13.46%","93.93%","437","11.66%","6.07%","7,204","13.33%"
"Sixties (60-69)","2,233","4.44%","95.59%","103","2.75%","4.41%","2,336","4.32%"
"Seventy + (70 and above)","568","1.13%","97.09%","17","0.45%","2.91%","585","1.08%"
"Total Reported","50,291","100%","93.06%","3,748","100%","6.94%","54,039","100%"
"Not Reported","178","","","1","","","179",""
"Grand Total","50,469","","","3,749","","","54,218",""
