"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,058","2.08%","97.24%","30","0.79%","2.76%","1,088","1.99%"
"Twenties (20-29)","15,531","30.52%","93.51%","1,078","28.50%","6.49%","16,609","30.38%"
"Thirties (30-39)","14,719","28.93%","92.25%","1,236","32.68%","7.75%","15,955","29.19%"
"Forties (40-49)","11,120","21.86%","91.76%","999","26.41%","8.24%","12,119","22.17%"
"Fifties (50-59)","6,060","11.91%","94.45%","356","9.41%","5.55%","6,416","11.74%"
"Sixties (60-69)","1,512","2.97%","96.06%","62","1.64%","3.94%","1,574","2.88%"
"Seventy + (70 and above)","880","1.73%","97.67%","21","0.56%","2.33%","901","1.65%"
"Total Reported","50,880","100%","93.08%","3,782","100%","6.92%","54,662","100%"
"Not Reported","288","","","3","","","291",""
"Grand Total","51,168","","","3,785","","","54,953",""
