"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,903","5.90%","95.65%","132","3.71%","4.35%","3,035","5.75%"
"Twenties","15,764","32.02%","93.86%","1,032","29.01%","6.14%","16,796","31.82%"
"Thirties","14,134","28.71%","92.31%","1,177","33.09%","7.69%","15,311","29.00%"
"Forties","11,341","23.03%","92.35%","940","26.43%","7.65%","12,281","23.26%"
"Fifties","4,068","8.26%","94.54%","235","6.61%","5.46%","4,303","8.15%"
"Sixties","867","1.76%","96.23%","34","0.96%","3.77%","901","1.71%"
"Seventy +","157","0.32%","95.73%","7","0.20%","4.27%","164","0.31%"
"Total Reported","49,234","100%","93.26%","3,557","100%","6.74%","52,791","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","49,235","","","3,557","","","52,792",""
