"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","522","1.10%","95.43%","25","0.73%","4.57%","547","1.07%"
"Twenties (20-29)","11,998","25.29%","93.43%","844","24.50%","6.57%","12,842","25.23%"
"Thirties (30-39)","14,472","30.50%","92.10%","1,241","36.02%","7.90%","15,713","30.88%"
"Forties (40-49)","10,470","22.07%","93.12%","774","22.47%","6.88%","11,244","22.09%"
"Fifties (50-59)","6,643","14.00%","94.05%","420","12.19%","5.95%","7,063","13.88%"
"Sixties (60-69)","2,648","5.58%","95.60%","122","3.54%","4.40%","2,770","5.44%"
"Seventy + (70 and above)","693","1.46%","97.33%","19","0.55%","2.67%","712","1.40%"
"Total Reported","47,446","100%","93.23%","3,445","100%","6.77%","50,891","100%"
"Not Reported","327","","","1","","","328",""
"Grand Total","47,773","","","3,446","","","51,219",""
