"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,020","2.06%","96.14%","41","1.11%","3.86%","1,061","1.99%"
"Twenties (20-29)","15,549","31.34%","93.90%","1,010","27.35%","6.10%","16,559","31.07%"
"Thirties (30-39)","14,567","29.36%","92.03%","1,262","34.17%","7.97%","15,829","29.70%"
"Forties (40-49)","11,695","23.58%","91.98%","1,020","27.62%","8.02%","12,715","23.86%"
"Fifties (50-59)","5,307","10.70%","94.63%","301","8.15%","5.37%","5,608","10.52%"
"Sixties (60-69)","1,254","2.53%","96.39%","47","1.27%","3.61%","1,301","2.44%"
"Seventy + (70 and above)","215","0.43%","94.71%","12","0.32%","5.29%","227","0.43%"
"Total Reported","49,607","100%","93.07%","3,693","100%","6.93%","","53,300   100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,607","","","3,693","","","53,300",""
