"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","787","1.55%","95.86%","34","0.87%","4.14%","821","1.50%"
"Twenties (20-29)","14,088","27.78%","93.22%","1,024","26.20%","6.78%","15,112","27.67%"
"Thirties (30-39)","15,361","30.29%","91.69%","1,392","35.61%","8.31%","16,753","30.67%"
"Forties (40-49)","10,428","20.56%","92.25%","876","22.41%","7.75%","11,304","20.70%"
"Fifties (50-59)","6,943","13.69%","93.76%","462","11.82%","6.24%","7,405","13.56%"
"Sixties (60-69)","2,442","4.82%","95.99%","102","2.61%","4.01%","2,544","4.66%"
"Seventy + (70 and above)","663","1.31%","97.21%","19","0.49%","2.79%","682","1.25%"
"Total Reported","50,712","100%","92.84%","3,909","100%","7.16%","54,621","100.0%"
"Not Reported","225","","","1","","","226",""
"Grand Total","50,937","","","3,910","","","54,847",""
