"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","658","1.33%","96.34%","25","0.70%","3.66%","683","1.29%"
"Twenties (20-29)","14,575","29.53%","93.80%","964","26.89%","6.20%","15,539","29.35%"
"Thirties (30-39)","14,776","29.93%","92.29%","1,234","34.42%","7.71%","16,010","30.24%"
"Forties (40-49)","10,014","20.29%","92.44%","819","22.85%","7.56%","10,833","20.46%"
"Fifties (50-59)","6,681","13.53%","93.95%","430","11.99%","6.05%","7,111","13.43%"
"Sixties (60-69)","2,105","4.26%","95.59%","97","2.71%","4.41%","2,202","4.16%"
"Seventy + (70 and above)","552","1.12%","97.18%","16","0.45%","2.82%","568","1.07%"
"Total Reported","49,361","100%","93.23%","3,585","100%","6.77%","52,946","100%"
"Not Reported","155","","","1","","","156",""
"Grand Total","49,516","","","3,586","","","53,102",""
