"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,931","6.14%","95.66%","133","3.97%","4.34%","3,064","6.00%"
"Twenties","15,273","32.02%","94.04%","968","28.90%","5.96%","16,241","31.81%"
"Thirties","13,847","29.03%","92.36%","1,145","34.18%","7.64%","14,992","29.37%"
"Forties","10,934","22.92%","92.54%","881","26.30%","7.46%","11,815","23.14%"
"Fifties","3,748","7.86%","95.30%","185","5.52%","4.70%","3,933","7.70%"
"Sixties","829","1.74%","96.06%","34","1.01%","3.94%","863","1.69%"
"Seventy +","138","0.29%","97.18%","4","0.12%","2.82%","142","0.28%"
"Total Reported","47,700","100%","93.44%","3,350","100%","6.56%","51,050","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","47,701","","","3,350","","","51,051",""
