"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","725","1.45%","95.90%","31","0.82%","4.10%","756","1.40%"
"Twenties (20-29)","13,977","27.88%","93.34%","997","26.33%","6.66%","14,974","27.77%"
"Thirties (30-39)","15,213","30.34%","91.87%","1,347","35.57%","8.13%","16,560","30.71%"
"Forties (40-49)","10,272","20.49%","92.34%","852","22.50%","7.66%","11,124","20.63%"
"Fifties (50-59)","6,894","13.75%","94.03%","438","11.57%","5.97%","7,332","13.60%"
"Sixties (60-69)","2,405","4.80%","95.85%","104","2.75%","4.15%","2,509","4.65%"
"Seventy + (70 and above)","652","1.30%","97.31%","18","0.48%","2.69%","670","1.24%"
"Total Reported","50,138","100%","92.98%","3,787","100%","7.02%","53,925","100%"
"Not Reported","221","","","0","","","221",""
"Grand Total","50,359","","","3,787","","","54,146",""
