"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","979","1.98%","95.98%","41","1.12%","4.02%","1,020","1.92%"
"Twenties (20-29)","15,567","31.54%","93.78%","1,033","28.12%","6.22%","16,600","31.31%"
"Thirties (30-39)","14,497","29.38%","92.27%","1,215","33.08%","7.73%","15,712","29.63%"
"Forties (40-49)","11,768","23.85%","92.06%","1,015","27.63%","7.94%","12,783","24.11%"
"Fifties (50-59)","5,120","10.37%","94.17%","317","8.63%","5.83%","5,437","10.25%"
"Sixties (60-69)","1,209","2.45%","96.72%","41","1.12%","3.28%","1,250","2.36%"
"Seventy + (70 and above)","210","0.43%","95.02%","11","0.30%","4.98%","221","0.42%"
"Total Reported","49,350","100%","93.07%","3,673","100%","6.93%","53,023","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,350","","","3,673","","","53,023",""
