"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","721","1.44%","96.01%","30","0.84%","3.99%","751","1.40%"
"Twenties (20-29)","14,959","29.88%","93.58%","1,027","28.71%","6.42%","15,986","29.80%"
"Thirties (30-39)","14,892","29.75%","92.54%","1,201","33.58%","7.46%","16,093","30.00%"
"Forties (40-49)","10,229","20.43%","92.73%","802","22.42%","7.27%","11,031","20.57%"
"Fifties (50-59)","6,672","13.33%","94.08%","420","11.74%","5.92%","7,092","13.22%"
"Sixties (60-69)","2,023","4.04%","96.06%","83","2.32%","3.94%","2,106","3.93%"
"Seventy + (70 and above)","564","1.13%","97.58%","14","0.39%","2.42%","578","1.08%"
"Total Reported","50,060","100%","93.33%","3,577","100%","6.67%","53,637","100%"
"Not Reported","122","","","1","","","123",""
"Grand Total","50,182","","","3,578","","","53,760",""
