"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","335","0.77%","95.99%","14","0.48%","4.01%","349","0.75%"
"Twenties (20-29)","10,212","23.59%","93.78%","677","22.98%","6.22%","10,889","23.56%"
"Thirties (30-39)","13,397","30.95%","92.71%","1,054","35.78%","7.29%","14,451","31.26%"
"Forties (40-49)","9,782","22.60%","93.34%","698","23.69%","6.66%","10,480","22.67%"
"Fifties (50-59)","6,139","14.18%","94.29%","372","12.63%","5.71%","6,511","14.08%"
"Sixties (60-69)","2,738","6.33%","96.04%","113","3.84%","3.96%","2,851","6.17%"
"Seventy + (70 and above)","678","1.57%","97.41%","18","0.61%","2.59%","696","1.51%"
"Total Reported","43,281","100%","93.63%","2,946","100%","6.37%","46,227","100%"
"Not Reported","358","","","1","","","359",""
"Grand Total","43,639","","","2,947","","","46,586",""
