"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","716","1.44%","95.98%","30","0.83%","4.02%","746","1.40%"
"Twenties (20-29)","14,778","29.68%","93.56%","1,017","28.25%","6.44%","15,795","29.59%"
"Thirties (30-39)","14,834","29.80%","92.34%","1,230","34.17%","7.66%","16,064","30.09%"
"Forties (40-49)","10,138","20.36%","92.69%","799","22.19%","7.31%","10,937","20.49%"
"Fifties (50-59)","6,728","13.51%","94.08%","423","11.75%","5.92%","7,151","13.39%"
"Sixties (60-69)","2,031","4.08%","95.94%","86","2.39%","4.06%","2,117","3.97%"
"Seventy + (70 and above)","561","1.13%","97.40%","15","0.42%","2.60%","576","1.08%"
"Total Reported","49,786","100%","93.26%","3,600","100%","6.74%","53,386","100.0%"
"Not Reported","150","","","1","","","151",""
"Grand Total","49,936","","","3,601","","","53,537",""
