"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,794","5.71%","95.46%","133","3.72%","4.54%","2,927","5.58%"
"Twenties","15,653","32.00%","93.97%","1,004","28.11%","6.03%","16,657","31.73%"
"Thirties","14,083","28.79%","92.29%","1,176","32.92%","7.71%","15,259","29.07%"
"Forties","11,248","22.99%","91.98%","981","27.46%","8.02%","12,229","23.30%"
"Fifties","4,097","8.37%","94.51%","238","6.66%","5.49%","4,335","8.26%"
"Sixties","889","1.82%","96.42%","33","0.92%","3.58%","922","1.76%"
"Seventy +","157","0.32%","95.73%","7","0.20%","4.27%","164","0.31%"
"Total Reported","48,921","100%","93.20%","3,572","100%","6.80%","","52,493   100.0%"
"Not Reported","1","","","0","","","1",""
"Grand Total","48,922","","","3,572","","","52,494",""
