"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,891","5.83%","95.29%","143","4.05%","4.71%","3,034","5.71%"
"Twenties","15,829","31.90%","94.08%","996","28.22%","5.92%","16,825","31.66%"
"Thirties","14,153","28.52%","92.56%","1,138","32.24%","7.44%","15,291","28.77%"
"Forties","11,449","23.07%","92.20%","968","27.42%","7.80%","12,417","23.36%"
"Fifties","4,220","8.50%","94.51%","245","6.94%","5.49%","4,465","8.40%"
"Sixties","916","1.85%","96.52%","33","0.93%","3.48%","949","1.79%"
"Seventy +","162","0.33%","95.86%","7","0.20%","4.14%","169","0.32%"
"Total Reported","49,620","100%","93.36%","3,530","100%","6.64%","","53,150   100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,620","","","3,530","","","53,150",""
