"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","728","1.45%","96.17%","29","0.80%","3.83%","757","1.41%"
"Twenties (20-29)","14,940","29.82%","93.48%","1,042","28.82%","6.52%","15,982","29.75%"
"Thirties (30-39)","14,912","29.76%","92.49%","1,210","33.46%","7.51%","16,122","30.01%"
"Forties (40-49)","10,188","20.33%","92.63%","811","22.43%","7.37%","10,999","20.47%"
"Fifties (50-59)","6,752","13.48%","94.04%","428","11.84%","5.96%","7,180","13.37%"
"Sixties (60-69)","2,015","4.02%","96.04%","83","2.30%","3.96%","2,098","3.91%"
"Seventy + (70 and above)","570","1.14%","97.77%","13","0.36%","2.23%","583","1.09%"
"Total Reported","50,105","100%","93.27%","3,616","100%","6.73%","53,721","100.0%"
"Not Reported","148","","","1","","","149",""
"Grand Total","50,253","","","3,617","","","53,870",""
