"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","713","1.43%","96.09%","29","0.81%","3.91%","742","1.39%"
"Twenties (20-29)","14,874","29.76%","93.58%","1,021","28.49%","6.42%","15,895","29.68%"
"Thirties (30-39)","14,884","29.78%","92.46%","1,213","33.84%","7.54%","16,097","30.06%"
"Forties (40-49)","10,155","20.32%","92.73%","796","22.21%","7.27%","10,951","20.45%"
"Fifties (50-59)","6,759","13.53%","94.07%","426","11.89%","5.93%","7,185","13.42%"
"Sixties (60-69)","2,022","4.05%","96.01%","84","2.34%","3.99%","2,106","3.93%"
"Seventy + (70 and above)","565","1.13%","97.41%","15","0.42%","2.59%","580","1.08%"
"Total Reported","49,972","100%","93.31%","3,584","100%","6.69%","53,556","100.0%"
"Not Reported","149","","","1","","","150",""
"Grand Total","50,121","","","3,585","","","53,706",""
