"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,002","2.03%","96.07%","41","1.10%","3.93%","1,043","1.97%"
"Twenties (20-29)","15,368","31.21%","93.82%","1,013","27.30%","6.18%","16,381","30.94%"
"Thirties (30-39)","14,515","29.48%","91.94%","1,272","34.28%","8.06%","15,787","29.81%"
"Forties (40-49)","11,627","23.61%","91.95%","1,018","27.43%","8.05%","12,645","23.88%"
"Fifties (50-59)","5,271","10.70%","94.48%","308","8.30%","5.52%","5,579","10.54%"
"Sixties (60-69)","1,244","2.53%","96.36%","47","1.27%","3.64%","1,291","2.44%"
"Seventy + (70 and above)","214","0.43%","94.69%","12","0.32%","5.31%","226","0.43%"
"Total Reported","49,241","100%","92.99%","3,711","100%","7.01%","","52,952   100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,241","","","3,711","","","52,952",""
