"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","937","1.80%","97.71%","22","0.58%","2.29%","959","1.72%"
"Twenties (20-29)","15,879","30.57%","93.66%","1,075","28.38%","6.34%","16,954","30.42%"
"Thirties (30-39)","15,093","29.06%","92.49%","1,226","32.37%","7.51%","16,319","29.28%"
"Forties (40-49)","11,296","21.75%","91.82%","1,007","26.58%","8.18%","12,303","22.08%"
"Fifties (50-59)","6,272","12.08%","94.49%","366","9.66%","5.51%","6,638","11.91%"
"Sixties (60-69)","1,565","3.01%","95.72%","70","1.85%","4.28%","1,635","2.93%"
"Seventy + (70 and above)","898","1.73%","97.61%","22","0.58%","2.39%","920","1.65%"
"Total Reported","51,940","100%","93.20%","3,788","100%","6.80%","55,728","100%"
"Not Reported","3","","","1","","","4",""
"Grand Total","51,943","","","3,789","","","55,732",""
