"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,029","1.92%","97.26%","29","0.75%","2.74%","1,058","1.84%"
"Twenties (20-29)","16,579","30.91%","93.81%","1,094","28.11%","6.19%","17,673","30.72%"
"Thirties (30-39)","15,495","28.89%","92.41%","1,272","32.68%","7.59%","16,767","29.14%"
"Forties (40-49)","11,569","21.57%","91.93%","1,015","26.08%","8.07%","12,584","21.87%"
"Fifties (50-59)","6,474","12.07%","94.39%","385","9.89%","5.61%","6,859","11.92%"
"Sixties (60-69)","1,626","3.03%","95.42%","78","2.00%","4.58%","1,704","2.96%"
"Seventy + (70 and above)","871","1.62%","97.87%","19","0.49%","2.13%","890","1.55%"
"Total Reported","53,643","100%","93.24%","3,892","100%","6.76%","57,535","100%"
"Not Reported","34","","","1","","","35",""
"Grand Total","53,677","","","3,893","","","57,570",""
