"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","996","2.03%","96.89%","32","0.85%","3.11%","1,028","1.94%"
"Twenties (20-29)","15,308","31.17%","93.49%","1,066","28.33%","6.51%","16,374","30.97%"
"Thirties (30-39)","14,449","29.42%","92.20%","1,223","32.50%","7.80%","15,672","29.64%"
"Forties (40-49)","11,056","22.51%","91.63%","1,010","26.84%","8.37%","12,066","22.82%"
"Fifties (50-59)","5,684","11.57%","94.06%","359","9.54%","5.94%","6,043","11.43%"
"Sixties (60-69)","1,389","2.83%","95.86%","60","1.59%","4.14%","1,449","2.74%"
"Seventy + (70 and above)","233","0.47%","94.72%","13","0.35%","5.28%","246","0.47%"
"Total Reported","49,115","100%","92.88%","3,763","100%","7.12%","","52,878  100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,115","","","3,763","","","52,878",""
