"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","757","1.50%","96.80%","25","0.65%","3.20%","782","1.44%"
"Twenties (20-29)","14,248","28.26%","93.36%","1,014","26.47%","6.64%","15,262","28.13%"
"Thirties (30-39)","15,232","30.21%","91.93%","1,337","34.90%","8.07%","16,569","30.54%"
"Forties (40-49)","10,345","20.52%","92.17%","879","22.94%","7.83%","11,224","20.69%"
"Fifties (50-59)","6,859","13.60%","93.75%","457","11.93%","6.25%","7,316","13.48%"
"Sixties (60-69)","2,357","4.67%","95.97%","99","2.58%","4.03%","2,456","4.53%"
"Seventy + (70 and above)","624","1.24%","96.89%","20","0.52%","3.11%","644","1.19%"
"Total Reported","50,422","100%","92.94%","3,831","100%","7.06%","54,253","100%"
"Not Reported","217","","","0","","","217",""
"Grand Total","50,639","","","3,831","","","54,470",""
