"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,000","2.00%","95.97%","42","1.17%","4.03%","1,042","1.95%"
"Twenties (20-29)","15,817","31.66%","93.96%","1,016","28.18%","6.04%","16,833","31.43%"
"Thirties (30-39)","14,701","29.43%","92.55%","1,184","32.84%","7.45%","15,885","29.66%"
"Forties (40-49)","11,934","23.89%","92.20%","1,009","27.99%","7.80%","12,943","24.17%"
"Fifties (50-59)","5,091","10.19%","94.38%","303","8.40%","5.62%","5,394","10.07%"
"Sixties (60-69)","1,197","2.40%","96.61%","42","1.17%","3.39%","1,239","2.31%"
"Seventy + (70 and above)","215","0.43%","95.98%","9","0.25%","4.02%","224","0.42%"
"Total Reported","49,955","100%","93.27%","3,605","100%","6.73%","","53,560   100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,955","","","3,605","","","53,560",""
